"bic_de","name","zip","city","code","bic","country:id"
"65050281","Baden-Württemb.Bank/Landesbank Baden-Württemb.","88214","Ravensburg, Württ","BW-Bank/LBBW Ravensburg","SOLADEST450","base.de"
"65061219","Raiffeisenbank Aulendorf","88326","Aulendorf, Württ","Raiffbk Aulendorf","GENODES1AUL","base.de"
"65062577","Raiffeisenbank Ravensburg","88263","Horgenzell","Raiffeisenbank Ravensburg","GENODES1RRV","base.de"
"65062793","Raiffeisenbank Vorallgäu","88279","Amtzell","Raiffbk Vorallgäu","GENODES1AMZ","base.de"
"65063086","Raiffeisenbank Bad Saulgau","88343","Bad Saulgau","Raiffeisenbank Bad Saulgau","GENODES1SAG","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88060","Tettnang","Deutsche Bank PGK Tettnang","DEUTDEDB649","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88183","Ravensburg, Württ","Deutsche Bank PGK Ravensbur","DEUTDEDB650","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88003","Friedrichshafen","Deutsche Bank PGK Friedrich","DEUTDEDB651","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88292","Leutkirch im Allgäu","Deutsche Bank PGK Leutkirch","DEUTDEDB652","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88102","Lindau (Bodensee)","Deutsche Bank PGK Lindau","DEUTDEDB654","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88227","Wangen im Allgäu","Deutsche Bank PGK Wangen","DEUTDEDB657","base.de"
"65070024","Deutsche Bank Privat und Geschäftskunden","88240","Weingarten, Württ","Deutsche Bank PGK Weingarte","DEUTDEDB658","base.de"
"65070084","Deutsche Bank","88060","Tettnang","Deutsche Bank Tettnang","DEUTDESS649","base.de"
"65070084","Deutsche Bank","88183","Ravensburg, Württ","Deutsche Bank Ravensburg","DEUTDESS650","base.de"
"65070084","Deutsche Bank","88003","Friedrichshafen","Deutsche Bank Friedrichshaf","DEUTDESS651","base.de"
"65070084","Deutsche Bank","88292","Leutkirch im Allgäu","Deutsche Bank Leutkirch","DEUTDESS652","base.de"
"65070084","Deutsche Bank","88102","Lindau (Bodensee)","Deutsche Bank Lindau Bodens","DEUTDESS654","base.de"
"65070084","Deutsche Bank","88227","Wangen im Allgäu","Deutsche Bank Wangen Allgäu","DEUTDESS657","base.de"
"65070084","Deutsche Bank","88240","Weingarten, Württ","Deutsche Bank Weingarten Wu","DEUTDESS658","base.de"
"65080009","Commerzbank vormals Dresdner Bank","88183","Ravensburg, Württ","Commerzbank Ravensburg","DRESDEFF650","base.de"
"65090100","Volksbank Ulm-Biberach","88193","Ravensburg, Württ","Volksbank Ravensburg","ULMVDE66001","base.de"
"65091040","Leutkircher Bank Raiffeisen- und Volksbank","88299","Leutkirch im Allgäu","Leutkircher Bank","GENODES1LEU","base.de"
"65091300","Bad Waldseer Bank","88330","Bad Waldsee","Bad Waldseer Bank","GENODES1BWB","base.de"
"65091400","Isnyer Volksbank -alt-","88308","Isny im Allgäu","Isnyer Volksbank -alt-","GENODES1ISN","base.de"
"65091600","Volksbank Weingarten","88244","Weingarten, Württ","Volksbank Weingarten","GENODES1VWG","base.de"
"65092010","Volksbank Allgäu-West","88239","Wangen im Allgäu","VB Allgäu-West","GENODES1WAN","base.de"
"65092200","Volksbank Altshausen","88361","Altshausen","Volksbank Altshausen","GENODES1VAH","base.de"
"65093020","Volksbank Bad Saulgau","88344","Bad Saulgau","VB Bad Saulgau","GENODES1SLG","base.de"
"65110200","Internationales Bankhaus Bodensee","88045","Friedrichshafen","Int Bkhaus Bodensee","IBBFDE81XXX","base.de"
"65120091","UniCredit Bank - HypoVereinsbank","88002","Friedrichshafen","UniCredit Bank-HypoVereinbk","HYVEDEMM586","base.de"
"65140072","Commerzbank","88045","Friedrichshafen","Commerzbank Friedrichshafen","COBADEFF651","base.de"
"65150040","Spk -alt-","88008","Friedrichshafen","Spk -alt-","SOLADES1FRH","base.de"
"65161497","Genossenschaftsbank Meckenbeuren","88074","Meckenbeuren","Genossenschaftsbank","GENODES1GMB","base.de"
"65162832","Raiffeisenbank","88094","Oberteuringen","Raiffbk Oberteuringen","GENODES1OTE","base.de"
"65180005","Commerzbank vormals Dresdner Bank","88003","Friedrichshafen","Commerzbank Friedrichshfn","DRESDEFF651","base.de"
"65190110","Volksbank Friedrichshafen","88014","Friedrichshafen","Volksbank Friedrichshafen","GENODES1VFN","base.de"
"65191500","Volksbank Tettnang","88069","Tettnang","Volksbank Tettnang","GENODES1TET","base.de"
